DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT,DIVIDEND_YIELD,FUNDING_COST
1992-09-09,14.6875,,14.6875,,14.6875,,,0.0297
1992-09-10,15.0625,,15.0625,,15.0625,,,0.0297
1992-09-11,15.0,,15.0,,15.0,,,0.0298
1992-09-14,16.0625,,16.0625,,16.0625,,,0.0295
1992-09-15,16.5,,16.5,,16.5,,,0.0298
1992-09-16,16.4375,,16.4375,,16.4375,,,0.0296
1992-09-17,16.25,,16.25,,16.25,,,0.0294
1992-09-18,16.5,,16.5,,16.5,,,0.0294
1992-09-21,16.375,,16.375,,16.375,,,0.0297
1992-09-22,16.5,,16.5,,16.5,,,0.0298
1992-09-23,16.6875,,16.6875,,16.6875,,,0.0298
1992-09-24,17.0,,17.0,,17.0,,,0.0295
1992-09-25,16.8125,,16.8125,,16.8125,,,0.0286
1992-09-28,16.625,,16.625,,16.625,,,0.0279
1992-09-29,16.625,,16.625,,16.625,,,0.0279
1992-09-30,16.6875,,16.6875,,16.6875,,,0.0275
1992-10-01,16.4375,,16.4375,,16.4375,,,0.0266999999999999
1992-10-02,16.5,,16.5,,16.5,,,0.0269
1992-10-05,16.0625,,16.0625,,16.0625,,,0.0275
1992-10-06,15.6875,,15.6875,,15.6875,,,0.0279
1992-10-07,15.6875,,15.6875,,15.6875,,,0.0289
1992-10-08,15.6875,,15.6875,,15.6875,,,0.0285
1992-10-09,15.75,,15.75,,15.75,,,0.0289
1992-10-12,16.375,,16.375,,16.375,,,0.0289
1992-10-13,16.375,,16.375,,16.375,,,0.0295
1992-10-14,16.1875,,16.1875,,16.1875,,,0.0299
1992-10-15,16.125,,16.125,,16.125,,,0.0298
1992-10-16,16.1875,,16.1875,,16.1875,,,0.0297
1992-10-19,16.1875,,16.1875,,16.1875,,,0.0304
1992-10-20,16.375,,16.375,,16.375,,,0.0308999999999999
1992-10-21,16.375,,16.375,,16.375,,,0.0299
