DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT,DIVIDEND_YIELD,FUNDING_COST
1974-08-01 23:00:00,7.0,,7.0,,7.0,,0.0,0.17010000000000003
1974-08-02 23:00:00,7.0,,7.0,,7.0,,0.0,0.17010000000000003
1974-08-05 23:00:00,7.125,,7.125,,7.125,,0.0,0.17010000000000003
1974-08-06 23:00:00,7.125,,7.125,,7.125,,0.0,0.17010000000000003
1974-08-07 23:00:00,7.25,,7.25,,7.25,,0.0,0.17010000000000003
1974-08-08 23:00:00,7.375,,7.375,,7.375,,0.0,0.17010000000000003
1974-08-09 23:00:00,7.5,,7.5,,7.5,,0.0,0.17010000000000003
1974-08-12 23:00:00,7.5,,7.5,,7.5,,0.0,0.17010000000000003
1974-08-13 23:00:00,7.625,,7.625,,7.625,,0.0,0.17010000000000003
1974-08-14 23:00:00,7.375,,7.375,,7.375,,0.0,0.17010000000000003
1974-08-15 23:00:00,7.25,,7.25,,7.25,,0.0,0.17010000000000003
1974-08-16 23:00:00,7.0,,7.0,,7.0,,0.0,0.17010000000000003
1974-08-19 23:00:00,7.0,,7.0,,7.0,,0.0,0.17010000000000003
1974-08-20 23:00:00,7.375,,7.375,,7.375,,0.0,0.17010000000000003
1974-08-21 23:00:00,7.25,,7.25,,7.25,,0.0,0.17010000000000003
1974-08-22 23:00:00,7.25,,7.25,,7.25,,0.0,0.17010000000000003
1974-08-23 23:00:00,7.375,,7.375,,7.375,,0.0,0.17010000000000003
1974-08-26 23:00:00,6.875,,6.875,,6.875,,0.0,0.17010000000000003
1974-08-27 23:00:00,6.625,,6.625,,6.625,,0.0,0.17010000000000003
1974-08-28 23:00:00,6.75,,6.75,,6.75,,0.0,0.17010000000000003
1974-08-29 23:00:00,6.625,,6.625,,6.625,,0.0,0.17010000000000003
1974-08-30 23:00:00,6.5,,6.5,,6.5,,0.0,0.17010000000000003
1974-09-03 23:00:00,6.5,,6.5,,6.5,,0.0,0.17010000000000003
1974-09-04 23:00:00,6.375,,6.375,,6.375,,0.0,0.17010000000000003
1974-09-05 23:00:00,6.5,,6.5,,6.5,,0.0,0.17010000000000003
1974-09-06 23:00:00,6.5,,6.5,,6.5,,0.0,0.17010000000000003
1974-09-09 23:00:00,6.375,,6.375,,6.375,,0.0,0.17010000000000003
1974-09-10 23:00:00,6.125,,6.125,,6.125,,0.0,0.17010000000000003
1974-09-11 23:00:00,6.25,,6.25,,6.25,,0.0,0.17010000000000003
1974-09-12 23:00:00,6.0,,6.0,,6.0,,0.0,0.17010000000000003
1974-09-13 23:00:00,5.625,,5.625,,5.625,,0.0,0.17010000000000003
1974-09-16 23:00:00,5.875,,5.875,,5.875,,0.0,0.17010000000000003
1974-09-17 23:00:00,6.0,,6.0,,6.0,,0.0,0.17010000000000003
1974-09-18 23:00:00,6.0,,6.0,,6.0,,0.0,0.17010000000000003
1974-09-19 23:00:00,6.375,,6.375,,6.375,,0.0,0.17010000000000003
1974-09-20 23:00:00,6.5,,6.5,,6.5,,0.0,0.17010000000000003
1974-09-23 23:00:00,6.375,,6.375,,6.375,,0.0,0.17010000000000003
1974-09-24 23:00:00,6.5,,6.5,,6.5,,0.0,0.17010000000000003
1974-09-25 23:00:00,6.375,,6.375,,6.375,,0.0,0.17010000000000003
1974-09-26 23:00:00,6.25,,6.25,,6.25,,0.0,0.17010000000000003
1974-09-27 23:00:00,6.0,,6.0,,6.0,,0.0,0.17010000000000003
1974-09-30 23:00:00,6.0,,6.0,,6.0,,0.0,0.17010000000000003
1974-10-01 23:00:00,6.0,,6.0,,6.0,,0.0,0.17010000000000003
1974-10-02 23:00:00,5.875,,5.875,,5.875,,0.0,0.17010000000000003
1974-10-03 23:00:00,5.875,,5.875,,5.875,,0.0,0.17010000000000003
1974-10-04 23:00:00,5.875,,5.875,,5.875,,0.0,0.17010000000000003
1974-10-07 23:00:00,6.25,,6.25,,6.25,,0.0,0.17010000000000003
1974-10-08 23:00:00,6.625,,6.625,,6.625,,0.0,0.17010000000000003
1974-10-09 23:00:00,6.625,,6.625,,6.625,,0.0,0.17010000000000003
1974-10-10 23:00:00,6.625,,6.625,,6.625,,0.0,0.17010000000000003
1974-10-11 23:00:00,6.875,,6.875,,6.875,,0.0,0.17010000000000003
1974-10-14 23:00:00,7.375,,7.375,,7.375,,0.0,0.17010000000000003
1974-10-15 23:00:00,7.0,,7.0,,7.0,,0.0,0.17010000000000003
1974-10-16 23:00:00,6.875,,6.875,,6.875,,0.0,0.17010000000000003
1974-10-17 23:00:00,6.75,,6.75,,6.75,,0.0,0.17010000000000003
1974-10-18 23:00:00,6.625,,6.625,,6.625,,0.0,0.17010000000000003
1974-10-21 23:00:00,6.5,,6.5,,6.5,,0.0,0.17010000000000003
1974-10-22 23:00:00,6.375,,6.375,,6.375,,0.0,0.17010000000000003
1974-10-23 23:00:00,6.125,,6.125,,6.125,,0.0,0.17010000000000003
1974-10-24 23:00:00,6.125,,6.125,,6.125,,0.0,0.17010000000000003
1974-10-25 23:00:00,6.125,,6.125,,6.125,,0.0,0.17010000000000003
1974-10-28 23:00:00,6.125,,6.125,,6.125,,0.0,0.17010000000000003
1974-10-29 23:00:00,6.375,,6.375,,6.375,,0.0,0.17010000000000003
1974-10-30 23:00:00,6.25,,6.25,,6.25,,0.0,0.17010000000000003
1974-10-31 23:00:00,6.375,,6.375,,6.375,,0.0,0.17010000000000003
1974-11-01 23:00:00,6.375,,6.375,,6.375,,0.0,0.17010000000000003
1974-11-04 23:00:00,6.5,,6.5,,6.5,,0.0,0.17010000000000003
1974-11-05 23:00:00,6.625,,6.625,,6.625,,0.0,0.17010000000000003
1974-11-06 23:00:00,6.5,,6.5,,6.5,,0.0,0.17010000000000003
