DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT,DIVIDEND_YIELD,FUNDING_COST
2012-08-30,39.68999862670898,,39.68999862670898,,39.68999862670898,,0.0,0.001
2012-08-31,40.06999969482422,,40.06999969482422,,40.06999969482422,,0.0,0.0009
2012-09-04,40.400001525878906,,40.400001525878906,,40.400001525878906,,0.0,0.001
2012-09-05,40.56999969482422,,40.56999969482422,,40.56999969482422,,0.0,0.0011
2012-09-06,40.79999923706055,,40.79999923706055,,40.79999923706055,,0.0,0.0011
2012-09-07,40.75,,40.75,,40.75,,0.0,0.0011
2012-09-10,40.56999969482422,,40.56999969482422,,40.56999969482422,,0.0,0.001
2012-09-11,40.54999923706055,,40.54999923706055,,40.54999923706055,,0.0,0.001
2012-09-12,40.970001220703125,,40.970001220703125,,40.970001220703125,,0.0,0.001
2012-09-13,41.36000061035156,,41.36000061035156,,41.36000061035156,,0.0,0.001
2012-09-14,41.93000030517578,,41.93000030517578,,41.93000030517578,,0.0,0.0011
2012-09-17,41.540000915527344,,41.540000915527344,,41.540000915527344,,0.0,0.0011
2012-09-18,40.56999969482422,,40.56999969482422,,40.56999969482422,,0.0,0.001
2012-09-19,41.43999862670898,,41.43999862670898,,41.43999862670898,,0.0,0.0011
2012-09-20,41.68999862670898,,41.68999862670898,,41.68999862670898,,0.0,0.0011
2012-09-21,41.59999847412109,,41.59999847412109,,41.59999847412109,,0.0,0.0011
2012-09-24,41.22999954223633,,41.22999954223633,,41.22999954223633,,0.0,0.0011
2012-09-25,41.650001525878906,,41.650001525878906,,41.650001525878906,,0.0,0.0011
2012-09-26,41.4900016784668,,41.4900016784668,,41.4900016784668,,0.0,0.0011
2012-09-27,42.27000045776367,,42.27000045776367,,42.27000045776367,,0.0,0.0009
2012-09-28,42.04999923706055,,42.04999923706055,,42.04999923706055,,0.0,0.001
2012-10-01,42.02999877929688,,42.02999877929688,,42.02999877929688,,0.0,0.0009
2012-10-02,42.720001220703125,,42.720001220703125,,42.720001220703125,,0.0,0.0009
2012-10-03,41.369998931884766,,41.369998931884766,,41.369998931884766,,0.0,0.0009
2012-10-04,42.18999862670898,,42.18999862670898,,42.18999862670898,,0.0,0.001
2012-10-05,42.540000915527344,,42.540000915527344,,42.540000915527344,,0.0,0.0011
2012-10-08,42.060001373291016,,42.060001373291016,,42.060001373291016,,0.0,0.0011
2012-10-09,41.52000045776367,,41.52000045776367,,41.52000045776367,,0.0,0.001
2012-10-10,41.66999816894531,,41.66999816894531,,41.66999816894531,,0.0,0.001
