DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT,DIVIDEND_YIELD,FUNDING_COST
1995-03-16,11.0625,,11.0625,,11.0625,,0.0,0.0592
1995-03-17,11.1875,,11.1875,,11.1875,,0.0,0.0592
1995-03-20,11.3125,,11.3125,,11.3125,,0.0,0.0593
1995-03-21,11.0,,11.0,,11.0,,0.0,0.0592
1995-03-22,11.140625,,11.140625,,11.140625,,0.0,0.0591
1995-03-23,11.125,,11.125,,11.125,,0.0,0.0588999999999999
1995-03-24,11.875,,11.875,,11.875,,0.0,0.0584999999999999
1995-03-27,11.8125,,11.8125,,11.8125,,0.0,0.0582
1995-03-28,11.9375,,11.9375,,11.9375,,0.0,0.0588999999999999
1995-03-29,11.75,,11.75,,11.75,,0.0,0.0584
1995-03-30,11.5625,,11.5625,,11.5625,,0.0,0.0588
1995-03-31,10.75,,10.75,,10.75,,0.0,0.0588
1995-04-03,10.8125,,10.8125,,10.8125,,0.0,0.0594
1995-04-04,10.8125,,10.8125,,10.8125,,0.0,0.0591
1995-04-05,11.0,,11.0,,11.0,,0.0,0.0588
1995-04-06,10.75,,10.75,,10.75,,0.0,0.0584999999999999
1995-04-07,10.5,,10.5,,10.5,,0.0,0.0586
1995-04-10,10.46875,,10.46875,,10.46875,,0.0,0.0584999999999999
1995-04-11,10.5,,10.5,,10.5,,0.0,0.0584
1995-04-12,10.0625,,10.0625,,10.0625,,0.0,0.0582
1995-04-13,10.234375,,10.234375,,10.234375,,0.0,0.0575
1995-04-17,10.375,,10.375,,10.375,,0.0,0.0579999999999999
1995-04-18,10.296875,,10.296875,,10.296875,,0.0,0.0579
1995-04-19,10.3125,,10.3125,,10.3125,,0.0,0.0579999999999999
1995-04-20,10.375,,10.375,,10.375,,0.0,0.0576999999999999
1995-04-21,9.9375,,9.9375,,9.9375,,0.0,0.0579
1995-04-24,9.5625,,9.5625,,9.5625,,0.0,0.0583
1995-04-25,9.5625,,9.5625,,9.5625,,0.0,0.0584999999999999
1995-04-26,9.84375,,9.84375,,9.84375,,0.0,0.0584999999999999
1995-04-27,10.375,,10.375,,10.375,,0.0,0.0587
1995-04-28,10.34375,,10.34375,,10.34375,,0.0,0.0587
1995-05-01,10.21875,,10.21875,,10.21875,,0.0,0.0591
1995-05-02,9.96875,,9.96875,,9.96875,,0.0,0.0588999999999999
1995-05-03,10.65625,,10.65625,,10.65625,,0.0,0.0584
1995-05-04,10.46875,,10.46875,,10.46875,,0.0,0.0578
1995-05-05,10.53125,,10.53125,,10.53125,,0.0,0.0574
1995-05-08,10.5625,,10.5625,,10.5625,,0.0,0.0581
1995-05-09,11.5,,11.5,,11.5,,0.0,0.0581
1995-05-10,11.875,,11.875,,11.875,,0.0,0.0582
1995-05-11,11.625,,11.625,,11.625,,0.0,0.0584
1995-05-12,12.0,,12.0,,12.0,,0.0,0.0587
1995-05-15,12.03125,,12.03125,,12.03125,,0.0,0.0588
1995-05-16,12.34375,,12.34375,,12.34375,,0.0,0.0587
1995-05-17,12.25,,12.25,,12.25,,0.0,0.0586
