DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT,DIVIDEND_YIELD,FUNDING_COST
1993-11-24,8.0,,8.0,,8.0,,0.0155,0.0319
1993-11-26,8.0625,,8.0625,,8.0625,,0.0153798449612403,0.0318
1993-11-29,8.125,,8.125,,8.125,,0.0152615384615384,0.032
1993-11-30,8.0625,,8.0625,,8.0625,,0.0153798449612403,0.0321
1993-12-01,7.9375,,7.9375,,7.9375,,0.0117165354330708,0.0319
1993-12-02,8.125,,8.125,,8.125,,0.0114461538461538,0.0318
1993-12-03,8.375,,8.375,,8.375,,0.0111044776119402,0.0318
1993-12-06,8.4375,,8.4375,,8.4375,,0.0146962962962962,0.0318
1993-12-07,8.3125,,8.3125,,8.3125,,0.0149172932330827,0.0316
1993-12-08,8.3125,,8.3125,,8.3125,,0.0149172932330827,0.0315
1993-12-09,8.0,,8.0,,8.0,,0.0155,0.0313
1993-12-10,8.1875,,8.1875,,8.1875,,0.0151450381679389,0.0312
1993-12-13,8.4375,,8.4375,,8.4375,,0.0146962962962962,0.0312
1993-12-14,8.25,,8.25,,8.25,,0.015030303030303,0.0311
1993-12-15,8.0,,8.0,,8.0,,0.0155,0.031
1993-12-16,8.4375,,8.4375,,8.4375,,0.0146962962962962,0.031
1993-12-17,8.375,,8.375,,8.375,,0.0148059701492537,0.0308999999999999
1993-12-20,8.125,,8.125,,8.125,,0.0152615384615384,0.0315
1993-12-21,8.0625,,8.0625,,8.0625,,0.0153798449612403,0.0314
1993-12-22,8.0,,8.0,,8.0,,0.0155,0.0313
1993-12-23,8.0625,,8.0625,,8.0625,,0.0153798449612403,0.0313
1993-12-27,8.125,,8.125,,8.125,,0.0152615384615384,0.0313
1993-12-28,8.1875,,8.1875,,8.1875,,0.0151450381679389,0.0313
1993-12-29,8.3125,,8.3125,,8.3125,,0.0149172932330827,0.0308
1993-12-30,8.375,,8.375,,8.375,,0.0148059701492537,0.0304
1993-12-31,8.3125,,8.3125,,8.3125,,0.0149172932330827,0.0306999999999999
1994-01-03,8.25,,8.25,,8.25,,0.015030303030303,0.0316
1994-01-04,8.25,,8.25,,8.25,,0.015030303030303,0.0315
1994-01-05,8.1875,,8.1875,,8.1875,,0.0151450381679389,0.0314
1994-01-06,8.25,,8.25,,8.25,,0.015030303030303,0.0312
1994-01-07,8.4375,,8.4375,,8.4375,,0.0146962962962962,0.0306999999999999
1994-01-10,8.4375,,8.4375,,8.4375,,0.0146962962962962,0.0306
1994-01-11,8.5625,,8.5625,,8.5625,,0.0144817518248175,0.0304
1994-01-12,8.625,,8.625,,8.625,,0.0143768115942028,0.0302
1994-01-13,8.5,,8.5,,8.5,,0.0145882352941176,0.0301
1994-01-14,8.75,,8.75,,8.75,,0.0141714285714285,0.0302999999999999
1994-01-17,8.5625,,8.5625,,8.5625,,0.0144817518248175,0.0302999999999999
1994-01-18,8.5,,8.5,,8.5,,0.0145882352941176,0.0304
1994-01-19,8.625,,8.625,,8.625,,0.0143768115942028,0.0302999999999999
1994-01-20,8.8125,,8.8125,,8.8125,,0.0140709219858156,0.0301
1994-01-21,8.9375,,8.9375,,8.9375,,0.0138741258741258,0.0301
1994-01-24,8.9375,,8.9375,,8.9375,,0.0138741258741258,0.0301
1994-01-25,8.9375,,8.9375,,8.9375,,0.0138741258741258,0.0299
1994-01-26,9.625,,9.625,,9.625,,0.0128831168831168,0.0298
1994-01-27,9.5625,,9.5625,,9.5625,,0.0129673202614379,0.0298
1994-01-28,9.5,,9.5,,9.5,,0.0130526315789473,0.0299
1994-01-31,9.4375,,9.4375,,9.4375,,0.0131390728476821,0.0305
1994-02-01,9.5,,9.5,,9.5,,0.0130526315789473,0.031
1994-02-02,9.5,,9.5,,9.5,,0.0130526315789473,0.0313
1994-02-03,9.625,,9.625,,9.625,,0.0128831168831168,0.032
1994-02-04,9.5,,9.5,,9.5,,0.0130526315789473,0.033
1994-02-07,9.625,,9.625,,9.625,,0.0128831168831168,0.0331
1994-02-08,9.4375,,9.4375,,9.4375,,0.0131390728476821,0.0332
1994-02-09,9.5,,9.5,,9.5,,0.0130526315789473,0.0332
1994-02-10,9.25,,9.25,,9.25,,0.0134054054054054,0.0333
1994-02-11,9.0,,9.0,,9.0,,0.0137777777777777,0.0333
1994-02-14,9.0625,,9.0625,,9.0625,,0.0136827586206896,0.0334
1994-02-15,9.4375,,9.4375,,9.4375,,0.0131390728476821,0.0334
1994-02-16,9.375,,9.375,,9.375,,0.0132266666666666,0.0334
1994-02-17,9.3125,,9.3125,,9.3125,,0.0133154362416107,0.0335
1994-02-18,9.1875,,9.1875,,9.1875,,0.0134965986394557,0.0336
1994-02-22,9.0625,,9.0625,,9.0625,,0.0136827586206896,0.034
1994-02-23,9.25,,9.25,,9.25,,0.0134054054054054,0.0346
1994-02-24,9.0625,,9.0625,,9.0625,,0.0136827586206896,0.0344
1994-02-25,9.1875,,9.1875,,9.1875,,0.0134965986394557,0.0344
