DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT,DIVIDEND_YIELD,FUNDING_COST
1989-07-06,17.3125,,17.3125,,17.3125,,0.0294584837545126,0.0803
1989-07-07,17.1875,,17.1875,,17.1875,,0.0296727272727272,0.0798
1989-07-10,17.5625,,17.5625,,17.5625,,0.0290391459074733,0.08
1989-07-11,18.0,,18.0,,18.0,,0.0283333333333333,0.0803
1989-07-12,17.9375,,17.9375,,17.9375,,0.0284320557491289,0.0799
1989-07-13,17.8125,,17.8125,,17.8125,,0.0286315789473684,0.0803
1989-07-14,17.5,,17.5,,17.5,,0.0291428571428571,0.081
1989-07-17,17.5625,,17.5625,,17.5625,,0.0290391459074733,0.0818
1989-07-18,17.125,,17.125,,17.125,,0.0297810218978102,0.0818
1989-07-19,17.25,,17.25,,17.25,,0.0295652173913043,0.0819999999999999
1989-07-20,17.3125,,17.3125,,17.3125,,0.0294584837545126,0.0824
1989-07-21,17.3125,,17.3125,,17.3125,,0.0294584837545126,0.0839
1989-07-24,17.25,,17.25,,17.25,,0.0295652173913043,0.0837
1989-07-25,17.1875,,17.1875,,17.1875,,0.0296727272727272,0.0831
1989-07-26,17.625,,17.625,,17.625,,0.0289361702127659,0.083
1989-07-27,17.5625,,17.5625,,17.5625,,0.0290391459074733,0.0817
1989-07-28,17.4375,,17.4375,,17.4375,,0.0292473118279569,0.0812
1989-07-31,17.3125,,17.3125,,17.3125,,0.0294584837545126,0.0803999999999999
1989-08-01,17.8125,,17.8125,,17.8125,,0.0286315789473684,0.0789
1989-08-02,17.9375,,17.9375,,17.9375,,0.0284320557491289,0.0789
1989-08-03,18.75,,18.75,,18.75,,0.0272,0.079
1989-08-04,19.125,,19.125,,19.125,,0.0266666666666666,0.0813
1989-08-07,19.125,,19.125,,19.125,,0.0266666666666666,0.0821
1989-08-08,19.0625,,19.0625,,19.0625,,0.0267540983606557,0.0822
1989-08-09,18.9375,,18.9375,,18.9375,,0.0269306930693069,0.0818
1989-08-10,18.75,,18.75,,18.75,,0.0272,0.0813
1989-08-11,19.125,,19.125,,19.125,,0.0266666666666666,0.0822
1989-08-14,19.0,,19.0,,19.0,,0.0268421052631578,0.0832
1989-08-15,19.0,,19.0,,19.0,,0.0268421052631578,0.0831
1989-08-16,19.1875,,19.1875,,19.1875,,0.0265798045602605,0.0822
1989-08-17,19.3125,,19.3125,,19.3125,,0.0264077669902912,0.0815
