DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT,DIVIDEND_YIELD,FUNDING_COST
1999-04-30,26.125,,26.125,,26.125,,,0.0455
1999-05-03,26.625,,26.625,,26.625,,,0.0462
1999-05-04,25.6875,,25.6875,,25.6875,,,0.0463
1999-05-05,25.375,,25.375,,25.375,,,0.0461
1999-05-06,25.75,,25.75,,25.75,,,0.0462
1999-05-07,25.5625,,25.5625,,25.5625,,,0.0462
1999-05-10,25.9375,,25.9375,,25.9375,,,0.046
1999-05-11,25.6875,,25.6875,,25.6875,,,0.0462
1999-05-12,26.0,,26.0,,26.0,,,0.046
1999-05-13,25.375,,25.375,,25.375,,,0.0458999999999999
1999-05-14,24.625,,24.625,,24.625,,,0.0464
1999-05-17,25.1875,,25.1875,,25.1875,,,0.0471
1999-05-18,25.625,,25.625,,25.625,,,0.0466
1999-05-19,25.625,,25.625,,25.625,,,0.0463
1999-05-20,25.75,,25.75,,25.75,,,0.0461
1999-05-21,25.4375,,25.4375,,25.4375,,,0.0461
1999-05-24,24.75,,24.75,,24.75,,,0.0464
1999-05-25,23.875,,23.875,,23.875,,,0.0464
1999-05-26,24.1875,,24.1875,,24.1875,,,0.0466
1999-05-27,24.625,,24.625,,24.625,,,0.0465
1999-05-28,24.75,,24.75,,24.75,,,0.0466
1999-06-01,25.5625,,25.5625,,25.5625,,,0.0476999999999999
1999-06-02,27.5,,27.5,,27.5,,,0.0474
1999-06-03,26.25,,26.25,,26.25,,,0.0465
1999-06-04,26.875,,26.875,,26.875,,,0.0457
1999-06-07,26.8125,,26.8125,,26.8125,,,0.0464
1999-06-08,26.6875,,26.6875,,26.6875,,,0.0462
1999-06-09,26.5,,26.5,,26.5,,,0.046
1999-06-10,26.375,,26.375,,26.375,,,0.0467
1999-06-11,26.625,,26.625,,26.625,,,0.0474
1999-06-14,26.875,,26.875,,26.875,,,0.0475999999999999
1999-06-15,26.875,,26.875,,26.875,,,0.0474
1999-06-16,27.25,,27.25,,27.25,,,0.0467
1999-06-17,27.25,,27.25,,27.25,,,0.0464
1999-06-18,27.0,,27.0,,27.0,,,0.0469
