DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT,DIVIDEND_YIELD,FUNDING_COST
1977-04-28,2.71875,,2.71875,,2.71875,,0.0,0.1701
1977-04-29,2.75,,2.75,,2.75,,0.0,0.1701
1977-05-02,2.75,,2.75,,2.75,,0.0,0.1701
1977-05-03,2.75,,2.75,,2.75,,0.0,0.1701
1977-05-04,2.8125,,2.8125,,2.8125,,0.0,0.1701
1977-05-05,2.8125,,2.8125,,2.8125,,0.0,0.1701
1977-05-06,2.8125,,2.8125,,2.8125,,0.0,0.1701
1977-05-09,2.84375,,2.84375,,2.84375,,0.0,0.1701
1977-05-10,2.8125,,2.8125,,2.8125,,0.0,0.1701
1977-05-11,2.8125,,2.8125,,2.8125,,0.0,0.1701
1977-05-12,2.78125,,2.78125,,2.78125,,0.0,0.1701
1977-05-13,2.75,,2.75,,2.75,,0.0,0.1701
1977-05-16,2.75,,2.75,,2.75,,0.0,0.1701
1977-05-17,2.78125,,2.78125,,2.78125,,0.0,0.1701
1977-05-18,2.8125,,2.8125,,2.8125,,0.0,0.1701
1977-05-19,2.8125,,2.8125,,2.8125,,0.0,0.1701
1977-05-20,2.78125,,2.78125,,2.78125,,0.0,0.1701
1977-05-23,2.78125,,2.78125,,2.78125,,0.0,0.1701
1977-05-24,2.78125,,2.78125,,2.78125,,0.0,0.1701
1977-05-25,2.78125,,2.78125,,2.78125,,0.0,0.1701
1977-05-26,2.75,,2.75,,2.75,,0.0,0.1701
1977-05-27,2.75,,2.75,,2.75,,0.0,0.1701
1977-05-31,2.6875,,2.6875,,2.6875,,0.0,0.1701
1977-06-01,2.71875,,2.71875,,2.71875,,0.0,0.1701
1977-06-02,2.71875,,2.71875,,2.71875,,0.0,0.1701
1977-06-03,2.71875,,2.71875,,2.71875,,0.0,0.1701
1977-06-06,2.6875,,2.6875,,2.6875,,0.0,0.1701
1977-06-07,2.6875,,2.6875,,2.6875,,0.0,0.1701
1977-06-08,2.6875,,2.6875,,2.6875,,0.0,0.1701
1977-06-09,2.6875,,2.6875,,2.6875,,0.0,0.1701
1977-06-10,2.6875,,2.6875,,2.6875,,0.0,0.1701
1977-06-13,2.75,,2.75,,2.75,,0.0,0.1701
1977-06-14,2.71875,,2.71875,,2.71875,,0.0,0.1701
1977-06-15,2.78125,,2.78125,,2.78125,,0.0,0.1701
1977-06-16,2.78125,,2.78125,,2.78125,,0.0,0.1701
1977-06-17,2.78125,,2.78125,,2.78125,,0.0,0.1701
1977-06-20,2.78125,,2.78125,,2.78125,,0.0,0.1701
1977-06-21,2.78125,,2.78125,,2.78125,,0.0,0.1701
1977-06-22,2.78125,,2.78125,,2.78125,,0.0,0.1701
1977-06-23,2.78125,,2.78125,,2.78125,,0.0,0.1701
1977-06-24,2.78125,,2.78125,,2.78125,,0.0,0.1701
1977-06-27,2.8125,,2.8125,,2.8125,,0.0,0.1701
1977-06-28,2.8125,,2.8125,,2.8125,,0.0,0.1701
1977-06-29,2.8125,,2.8125,,2.8125,,0.0,0.1701
1977-06-30,2.84375,,2.84375,,2.84375,,0.0,0.1701
1977-07-01,2.84375,,2.84375,,2.84375,,0.0,0.1701
