DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT,DIVIDEND_YIELD,FUNDING_COST
2007-08-27,39.52999877929688,,39.52999877929688,,39.52999877929688,,0.0,0.0463
2007-08-28,38.650001525878906,,38.650001525878906,,38.650001525878906,,0.0,0.044
2007-08-29,39.04999923706055,,39.04999923706055,,39.04999923706055,,0.0,0.0398
2007-08-30,39.18999862670898,,39.18999862670898,,39.18999862670898,,0.0,0.0384
2007-08-31,40.650001525878906,,40.650001525878906,,40.650001525878906,,0.0,0.0401
2007-09-04,40.81999969482422,,40.81999969482422,,40.81999969482422,,0.0,0.0447
2007-09-05,41.060001373291016,,41.060001373291016,,41.060001373291016,,0.0,0.0436
2007-09-06,41.04999923706055,,41.04999923706055,,41.04999923706055,,0.0,0.0429
2007-09-07,39.38999938964844,,39.38999938964844,,39.38999938964844,,0.0,0.0407
2007-09-10,39.619998931884766,,39.619998931884766,,39.619998931884766,,0.0,0.0395999999999999
2007-09-11,40.0,,40.0,,40.0,,0.0,0.0411
2007-09-12,39.470001220703125,,39.470001220703125,,39.470001220703125,,0.0,0.0403
2007-09-13,39.209999084472656,,39.209999084472656,,39.209999084472656,,0.0,0.0408
2007-09-14,39.43000030517578,,39.43000030517578,,39.43000030517578,,0.0,0.0401
2007-09-17,38.869998931884766,,38.869998931884766,,38.869998931884766,,0.0,0.0415
2007-09-18,39.9900016784668,,39.9900016784668,,39.9900016784668,,0.0,0.0401
2007-09-19,40.869998931884766,,40.869998931884766,,40.869998931884766,,0.0,0.0393
2007-09-20,41.33000183105469,,41.33000183105469,,41.33000183105469,,0.0,0.0379
2007-09-21,41.88999938964844,,41.88999938964844,,41.88999938964844,,0.0,0.0374
2007-09-24,43.68999862670898,,43.68999862670898,,43.68999862670898,,0.0,0.0384
2007-09-25,45.900001525878906,,45.900001525878906,,45.900001525878906,,0.0,0.0379
2007-09-26,47.0,,47.0,,47.0,,0.0,0.0373
2007-09-27,46.900001525878906,,46.900001525878906,,46.900001525878906,,0.0,0.0371
2007-09-28,45.709999084472656,,45.709999084472656,,45.709999084472656,,0.0,0.0382
2007-10-01,46.16999816894531,,46.16999816894531,,46.16999816894531,,0.0,0.0392
2007-10-02,46.27000045776367,,46.27000045776367,,46.27000045776367,,0.0,0.0395999999999999
2007-10-03,45.52000045776367,,45.52000045776367,,45.52000045776367,,0.0,0.0395999999999999
2007-10-04,44.7400016784668,,44.7400016784668,,44.7400016784668,,0.0,0.0395999999999999
2007-10-05,46.20000076293945,,46.20000076293945,,46.20000076293945,,0.0,0.04
2007-10-08,46.400001525878906,,46.400001525878906,,46.400001525878906,,0.0,0.04
2007-10-09,46.27000045776367,,46.27000045776367,,46.27000045776367,,0.0,0.0406
