DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT,DIVIDEND_YIELD,FUNDING_COST
1974-08-01,2.015625,,2.015625,,2.015625,,0.0,0.1701
1974-08-02,1.984375,,1.984375,,1.984375,,0.0,0.1701
1974-08-05,2.0,,2.0,,2.0,,0.0,0.1701
1974-08-06,2.046875,,2.046875,,2.046875,,0.0,0.1701
1974-08-07,2.21875,,2.21875,,2.21875,,0.0,0.1701
1974-08-08,2.234375,,2.234375,,2.234375,,0.0,0.1701
1974-08-09,2.1875,,2.1875,,2.1875,,0.0,0.1701
1974-08-12,2.15625,,2.15625,,2.15625,,0.0,0.1701
1974-08-13,2.234375,,2.234375,,2.234375,,0.0,0.1701
1974-08-14,2.25,,2.25,,2.25,,0.0,0.1701
1974-08-15,2.171875,,2.171875,,2.171875,,0.0,0.1701
1974-08-16,2.203125,,2.203125,,2.203125,,0.0,0.1701
1974-08-19,2.21875,,2.21875,,2.21875,,0.0,0.1701
1974-08-20,2.109375,,2.109375,,2.109375,,0.0,0.1701
1974-08-21,2.046875,,2.046875,,2.046875,,0.0,0.1701
1974-08-22,2.015625,,2.015625,,2.015625,,0.0,0.1701
1974-08-23,1.9375,,1.9375,,1.9375,,0.0,0.1701
1974-08-26,1.890625,,1.890625,,1.890625,,0.0,0.1701
1974-08-27,1.859375,,1.859375,,1.859375,,0.0,0.1701
1974-08-28,1.75,,1.75,,1.75,,0.0,0.1701
1974-08-29,1.625,,1.625,,1.625,,0.0,0.1701
1974-08-30,1.671875,,1.671875,,1.671875,,0.0,0.1701
1974-09-03,1.625,,1.625,,1.625,,0.0,0.1701
1974-09-04,1.578125,,1.578125,,1.578125,,0.0,0.1701
1974-09-05,1.6875,,1.6875,,1.6875,,0.0,0.1701
1974-09-06,1.609375,,1.609375,,1.609375,,0.0,0.1701
1974-09-09,1.546875,,1.546875,,1.546875,,0.0,0.1701
1974-09-10,1.578125,,1.578125,,1.578125,,0.0,0.1701
1974-09-11,1.5625,,1.5625,,1.5625,,0.0,0.1701
1974-09-12,1.53125,,1.53125,,1.53125,,0.0,0.1701
1974-09-13,1.46875,,1.46875,,1.46875,,0.0,0.1701
1974-09-16,1.546875,,1.546875,,1.546875,,0.0,0.1701
1974-09-17,1.578125,,1.578125,,1.578125,,0.0,0.1701
1974-09-18,1.546875,,1.546875,,1.546875,,0.0,0.1701
1974-09-19,1.5625,,1.5625,,1.5625,,0.0,0.1701
1974-09-20,1.59375,,1.59375,,1.59375,,0.0,0.1701
1974-09-23,1.625,,1.625,,1.625,,0.0,0.1701
1974-09-24,1.640625,,1.640625,,1.640625,,0.0,0.1701
1974-09-25,1.640625,,1.640625,,1.640625,,0.0,0.1701
1974-09-26,1.640625,,1.640625,,1.640625,,0.0,0.1701
1974-09-27,1.609375,,1.609375,,1.609375,,0.0,0.1701
1974-09-30,1.59375,,1.59375,,1.59375,,0.0,0.1701
1974-10-01,1.5625,,1.5625,,1.5625,,0.0,0.1701
1974-10-02,1.703125,,1.703125,,1.703125,,0.0,0.1701
1974-10-03,1.71875,,1.71875,,1.71875,,0.0,0.1701
1974-10-04,1.6875,,1.6875,,1.6875,,0.0,0.1701
1974-10-07,1.78125,,1.78125,,1.78125,,0.0,0.1701
1974-10-08,1.65625,,1.65625,,1.65625,,0.0,0.1701
