DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT,DIVIDEND_YIELD,FUNDING_COST
1997-04-30,7.40625,,7.40625,,7.40625,,,0.0528
1997-05-01,7.21875,,7.21875,,7.21875,,,0.0524
1997-05-02,7.5,,7.5,,7.5,,,0.0524
1997-05-05,7.5625,,7.5625,,7.5625,,,0.0521999999999999
1997-05-06,7.40625,,7.40625,,7.40625,,,0.0521
1997-05-07,7.53125,,7.53125,,7.53125,,,0.0521999999999999
1997-05-08,7.34375,,7.34375,,7.34375,,,0.0521
1997-05-09,7.53125,,7.53125,,7.53125,,,0.0519
1997-05-12,7.53125,,7.53125,,7.53125,,,0.0524
1997-05-13,7.59375,,7.59375,,7.59375,,,0.0524
1997-05-14,7.4375,,7.4375,,7.4375,,,0.0519
1997-05-15,7.46875,,7.46875,,7.46875,,,0.0513
1997-05-16,7.65625,,7.65625,,7.65625,,,0.052
1997-05-19,7.65625,,7.65625,,7.65625,,,0.0538
1997-05-20,7.875,,7.875,,7.875,,,0.0538999999999999
1997-05-21,7.9375,,7.9375,,7.9375,,,0.0512
1997-05-22,7.9375,,7.9375,,7.9375,,,0.0518
1997-05-23,8.03125,,8.03125,,8.03125,,,0.0518
1997-05-27,8.09375,,8.09375,,8.09375,,,0.0518
1997-05-28,8.0,,8.0,,8.0,,,0.0518
1997-05-29,8.03125,,8.03125,,8.03125,,,0.0503
1997-05-30,8.0625,,8.0625,,8.0625,,,0.0496
1997-06-02,8.34375,,8.34375,,8.34375,,,0.0507
1997-06-03,8.375,,8.375,,8.375,,,0.0504999999999999
1997-06-04,8.375,,8.375,,8.375,,,0.0509
1997-06-05,8.46875,,8.46875,,8.46875,,,0.0511
1997-06-06,8.59375,,8.59375,,8.59375,,,0.0507
1997-06-09,8.65625,,8.65625,,8.65625,,,0.0506
1997-06-10,8.53125,,8.53125,,8.53125,,,0.0504999999999999
1997-06-11,8.3125,,8.3125,,8.3125,,,0.0498
1997-06-12,8.09375,,8.09375,,8.09375,,,0.0496999999999999
1997-06-13,8.125,,8.125,,8.125,,,0.05
1997-06-16,8.09375,,8.09375,,8.09375,,,0.0503
1997-06-17,8.15625,,8.15625,,8.15625,,,0.0504999999999999
1997-06-18,8.125,,8.125,,8.125,,,0.0503
1997-06-19,7.9375,,7.9375,,7.9375,,,0.0508
1997-06-20,8.03125,,8.03125,,8.03125,,,0.0508
1997-06-23,7.84375,,7.84375,,7.84375,,,0.0506
1997-06-24,7.75,,7.75,,7.75,,,0.0507
1997-06-25,8.1875,,8.1875,,8.1875,,,0.0507
1997-06-26,8.4375,,8.4375,,8.4375,,,0.0516999999999999
1997-06-27,8.5625,,8.5625,,8.5625,,,0.0515
1997-06-30,8.96875,,8.96875,,8.96875,,,0.0525
1997-07-01,8.75,,8.75,,8.75,,,0.0518
1997-07-02,8.671875,,8.671875,,8.671875,,,0.052
1997-07-03,8.75,,8.75,,8.75,,,0.0513999999999999
1997-07-07,8.71875,,8.71875,,8.71875,,,0.0512
1997-07-08,8.9375,,8.9375,,8.9375,,,0.0512
1997-07-09,8.859375,,8.859375,,8.859375,,,0.0511
1997-07-10,8.71875,,8.71875,,8.71875,,,0.0515
1997-07-11,8.5625,,8.5625,,8.5625,,,0.0513999999999999
1997-07-14,8.796875,,8.796875,,8.796875,,,0.0521999999999999
1997-07-15,8.78125,,8.78125,,8.78125,,,0.0521999999999999
1997-07-16,8.9375,,8.9375,,8.9375,,,0.0516999999999999
1997-07-17,8.71875,,8.71875,,8.71875,,,0.0518
1997-07-18,8.578125,,8.578125,,8.578125,,,0.0524
1997-07-21,8.640625,,8.640625,,8.640625,,,0.0527
1997-07-22,8.671875,,8.671875,,8.671875,,,0.0518
1997-07-23,8.75,,8.75,,8.75,,,0.052
1997-07-24,8.71875,,8.71875,,8.71875,,,0.0523
1997-07-25,8.8125,,8.8125,,8.8125,,,0.0524
1997-07-28,8.90625,,8.90625,,8.90625,,,0.0524
1997-07-29,8.765625,,8.765625,,8.765625,,,0.0524
1997-07-30,8.75,,8.75,,8.75,,,0.0524
1997-07-31,8.953125,,8.953125,,8.953125,,,0.0525
1997-08-01,8.859375,,8.859375,,8.859375,,,0.0528
1997-08-04,8.859375,,8.859375,,8.859375,,,0.0529
1997-08-05,8.90625,,8.90625,,8.90625,,,0.0529
1997-08-06,8.78125,,8.78125,,8.78125,,,0.0529
1997-08-07,8.796875,,8.796875,,8.796875,,,0.053
1997-08-08,8.484375,,8.484375,,8.484375,,,0.0529
1997-08-11,8.40625,,8.40625,,8.40625,,,0.0530999999999999
1997-08-12,8.34375,,8.34375,,8.34375,,,0.0530999999999999
1997-08-13,8.328125,,8.328125,,8.328125,,,0.0532
1997-08-14,8.171875,,8.171875,,8.171875,,,0.0533999999999999
1997-08-15,8.09375,,8.09375,,8.09375,,,0.0529
1997-08-18,8.09375,,8.09375,,8.09375,,,0.0523
1997-08-19,7.921875,,7.921875,,7.921875,,,0.0525
1997-08-20,8.171875,,8.171875,,8.171875,,,0.0524
1997-08-21,8.078125,,8.078125,,8.078125,,,0.0527
1997-08-22,8.140625,,8.140625,,8.140625,,,0.0525
1997-08-25,8.0625,,8.0625,,8.0625,,,0.0528
1997-08-26,8.1875,,8.1875,,8.1875,,,0.0528
1997-08-27,8.03125,,8.03125,,8.03125,,,0.0528
1997-08-28,8.140625,,8.140625,,8.140625,,,0.0524
1997-08-29,8.328125,,8.328125,,8.328125,,,0.0524
1997-09-02,8.5,,8.5,,8.5,,,0.0521
1997-09-03,8.625,,8.625,,8.625,,,0.0513999999999999
1997-09-04,8.765625,,8.765625,,8.765625,,,0.0513999999999999
1997-09-05,8.671875,,8.671875,,8.671875,,,0.0516999999999999
1997-09-08,8.75,,8.75,,8.75,,,0.0516
1997-09-09,8.75,,8.75,,8.75,,,0.0516
1997-09-10,8.671875,,8.671875,,8.671875,,,0.0511
1997-09-11,8.5,,8.5,,8.5,,,0.0513
1997-09-12,10.109375,,10.109375,,10.109375,,,0.051
1997-09-15,10.078125,,10.078125,,10.078125,,,0.0508
1997-09-16,10.90625,,10.90625,,10.90625,,,0.0509
1997-09-17,10.84375,,10.84375,,10.84375,,,0.051
1997-09-18,11.0,,11.0,,11.0,,,0.051
1997-09-19,10.90625,,10.90625,,10.90625,,,0.0506
1997-09-22,11.3125,,11.3125,,11.3125,,,0.0501999999999999
1997-09-23,10.71875,,10.71875,,10.71875,,,0.0501999999999999
1997-09-24,10.6875,,10.6875,,10.6875,,,0.0494
1997-09-25,10.84375,,10.84375,,10.84375,,,0.0493
1997-09-26,10.9375,,10.9375,,10.9375,,,0.0499
1997-09-29,11.1875,,11.1875,,11.1875,,,0.0507
1997-09-30,11.046875,,11.046875,,11.046875,,,0.0506
1997-10-01,11.25,,11.25,,11.25,,,0.051
1997-10-02,11.578125,,11.578125,,11.578125,,,0.0507
1997-10-03,11.734375,,11.734375,,11.734375,,,0.0503
1997-10-06,11.140625,,11.140625,,11.140625,,,0.0508
1997-10-07,11.453125,,11.453125,,11.453125,,,0.0506
1997-10-08,11.421875,,11.421875,,11.421875,,,0.0509
1997-10-09,11.1875,,11.1875,,11.1875,,,0.0513999999999999
1997-10-10,11.5625,,11.5625,,11.5625,,,0.0513999999999999
1997-10-13,11.484375,,11.484375,,11.484375,,,0.0513999999999999
1997-10-14,11.578125,,11.578125,,11.578125,,,0.0508
1997-10-15,11.671875,,11.671875,,11.671875,,,0.0506
1997-10-16,11.375,,11.375,,11.375,,,0.0507
1997-10-17,10.984375,,10.984375,,10.984375,,,0.0506
1997-10-20,11.09375,,11.09375,,11.09375,,,0.0509
1997-10-21,11.71875,,11.71875,,11.71875,,,0.0507
1997-10-22,11.6875,,11.6875,,11.6875,,,0.0516
1997-10-23,11.609375,,11.609375,,11.609375,,,0.0513
1997-10-24,11.625,,11.625,,11.625,,,0.0515
1997-10-27,11.0625,,11.0625,,11.0625,,,0.0508
1997-10-28,11.0,,11.0,,11.0,,,0.0525
1997-10-29,10.921875,,10.921875,,10.921875,,,0.0519
1997-10-30,10.734375,,10.734375,,10.734375,,,0.0516999999999999
1997-10-31,11.0,,11.0,,11.0,,,0.0521
1997-11-03,10.71875,,10.71875,,10.71875,,,0.0526
1997-11-04,10.578125,,10.578125,,10.578125,,,0.0525
1997-11-05,10.40625,,10.40625,,10.40625,,,0.0527
1997-11-06,10.3125,,10.3125,,10.3125,,,0.0530999999999999
1997-11-07,10.25,,10.25,,10.25,,,0.0530999999999999
1997-11-10,10.234375,,10.234375,,10.234375,,,0.0532
1997-11-11,10.078125,,10.078125,,10.078125,,,0.0532
1997-11-12,9.875,,9.875,,9.875,,,0.053
1997-11-13,9.859375,,9.859375,,9.859375,,,0.0527
1997-11-14,9.984375,,9.984375,,9.984375,,,0.0527
1997-11-17,10.0,,10.0,,10.0,,,0.0530999999999999
1997-11-18,10.109375,,10.109375,,10.109375,,,0.0530999999999999
1997-11-19,10.15625,,10.15625,,10.15625,,,0.0528
1997-11-20,10.65625,,10.65625,,10.65625,,,0.0528
1997-11-21,10.75,,10.75,,10.75,,,0.0525
1997-11-24,10.453125,,10.453125,,10.453125,,,0.0529
1997-11-25,10.4375,,10.4375,,10.4375,,,0.053
1997-11-26,10.53125,,10.53125,,10.53125,,,0.0526
1997-11-28,10.703125,,10.703125,,10.703125,,,0.0521999999999999
1997-12-01,10.625,,10.625,,10.625,,,0.0527
1997-12-02,10.6875,,10.6875,,10.6875,,,0.0526
1997-12-03,10.796875,,10.796875,,10.796875,,,0.0526
1997-12-04,10.828125,,10.828125,,10.828125,,,0.0527
1997-12-05,10.96875,,10.96875,,10.96875,,,0.053
1997-12-08,11.0,,11.0,,11.0,,,0.0529
1997-12-09,10.703125,,10.703125,,10.703125,,,0.0527
1997-12-10,10.296875,,10.296875,,10.296875,,,0.0521
