DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT,DIVIDEND_YIELD,FUNDING_COST
1989-11-30 23:00:00,2.0,,2.0,,2.0,,0.0,0.0784
1989-12-01 23:00:00,2.0,,2.0,,2.0,,0.0,0.07780000000000001
1989-12-04 23:00:00,2.0,,2.0,,2.0,,0.0,0.0779
1989-12-05 23:00:00,2.0,,2.0,,2.0,,0.0,0.0781
1989-12-06 23:00:00,2.0,,2.0,,2.0,,0.0,0.079
1989-12-07 23:00:00,2.0,,2.0,,2.0,,0.0,0.0795
1989-12-08 23:00:00,2.0,,2.0,,2.0,,0.0,0.0786
1989-12-11 23:00:00,2.0,,2.0,,2.0,,0.0,0.0788
1989-12-12 23:00:00,2.0,,2.0,,2.0,,0.0,0.07919999999999999
1989-12-13 23:00:00,2.0,,2.0,,2.0,,0.0,0.0795
1989-12-14 23:00:00,2.0,,2.0,,2.0,,0.0,0.0788
1989-12-15 23:00:00,1.875,,1.875,,1.875,,0.0,0.0787
1989-12-18 23:00:00,1.75,,1.75,,1.75,,0.0,0.0785
1989-12-19 23:00:00,1.875,,1.875,,1.875,,0.0,0.0793
1989-12-20 23:00:00,1.75,,1.75,,1.75,,0.0,0.0782
1989-12-21 23:00:00,1.625,,1.625,,1.625,,0.0,0.0781
1989-12-22 23:00:00,1.5,,1.5,,1.5,,0.0,0.0784
1989-12-26 23:00:00,1.5,,1.5,,1.5,,0.0,0.0802
1989-12-27 23:00:00,1.5,,1.5,,1.5,,0.0,0.0799
1989-12-28 23:00:00,1.5,,1.5,,1.5,,0.0,0.0794
1989-12-29 23:00:00,1.5,,1.5,,1.5,,0.0,0.078
1990-01-02 23:00:00,1.5,,1.5,,1.5,,0.0,0.0783
1990-01-03 23:00:00,1.5,,1.5,,1.5,,0.0,0.0789
1990-01-04 23:00:00,1.5,,1.5,,1.5,,0.0,0.0784
1990-01-05 23:00:00,1.625,,1.625,,1.625,,0.0,0.0779
1990-01-08 23:00:00,1.625,,1.625,,1.625,,0.0,0.0779
1990-01-09 23:00:00,1.5,,1.5,,1.5,,0.0,0.078
1990-01-10 23:00:00,1.5,,1.5,,1.5,,0.0,0.0775
1990-01-11 23:00:00,1.5,,1.5,,1.5,,0.0,0.078
1990-01-12 23:00:00,1.5,,1.5,,1.5,,0.0,0.0774
1990-01-15 23:00:00,1.625,,1.625,,1.625,,0.0,0.0774
1990-01-16 23:00:00,1.5,,1.5,,1.5,,0.0,0.0789
1990-01-17 23:00:00,1.625,,1.625,,1.625,,0.0,0.0797
1990-01-18 23:00:00,1.625,,1.625,,1.625,,0.0,0.08039999999999999
1990-01-19 23:00:00,1.625,,1.625,,1.625,,0.0,0.08
1990-01-22 23:00:00,1.625,,1.625,,1.625,,0.0,0.0799
1990-01-23 23:00:00,1.625,,1.625,,1.625,,0.0,0.0793
1990-01-24 23:00:00,1.5,,1.5,,1.5,,0.0,0.0793
1990-01-25 23:00:00,1.5,,1.5,,1.5,,0.0,0.0795
1990-01-26 23:00:00,1.5,,1.5,,1.5,,0.0,0.0793
1990-01-29 23:00:00,1.5,,1.5,,1.5,,0.0,0.08
1990-01-30 23:00:00,1.375,,1.375,,1.375,,0.0,0.08
1990-01-31 23:00:00,1.375,,1.375,,1.375,,0.0,0.08
1990-02-01 23:00:00,1.375,,1.375,,1.375,,0.0,0.0802
1990-02-02 23:00:00,1.375,,1.375,,1.375,,0.0,0.08070000000000001
1990-02-05 23:00:00,1.5,,1.5,,1.5,,0.0,0.0808
1990-02-06 23:00:00,1.375,,1.375,,1.375,,0.0,0.0809
1990-02-07 23:00:00,1.375,,1.375,,1.375,,0.0,0.0808
1990-02-08 23:00:00,1.375,,1.375,,1.375,,0.0,0.0808
1990-02-09 23:00:00,1.375,,1.375,,1.375,,0.0,0.0802
1990-02-12 23:00:00,1.375,,1.375,,1.375,,0.0,0.0799
1990-02-13 23:00:00,1.375,,1.375,,1.375,,0.0,0.0784
1990-02-14 23:00:00,1.375,,1.375,,1.375,,0.0,0.0787
1990-02-15 23:00:00,1.375,,1.375,,1.375,,0.0,0.0797
1990-02-16 23:00:00,1.375,,1.375,,1.375,,0.0,0.0794
1990-02-20 23:00:00,1.375,,1.375,,1.375,,0.0,0.0806
1990-02-21 23:00:00,1.375,,1.375,,1.375,,0.0,0.0801
1990-02-22 23:00:00,1.375,,1.375,,1.375,,0.0,0.0799
1990-02-23 23:00:00,1.375,,1.375,,1.375,,0.0,0.0793
1990-02-26 23:00:00,1.375,,1.375,,1.375,,0.0,0.0797
1990-02-27 23:00:00,1.5,,1.5,,1.5,,0.0,0.0799
1990-02-28 23:00:00,1.5,,1.5,,1.5,,0.0,0.08039999999999999
1990-03-01 23:00:00,1.5,,1.5,,1.5,,0.0,0.0808
1990-03-02 23:00:00,1.5,,1.5,,1.5,,0.0,0.0802
1990-03-05 23:00:00,1.5,,1.5,,1.5,,0.0,0.0809
1990-03-06 23:00:00,1.5,,1.5,,1.5,,0.0,0.0817
1990-03-07 23:00:00,1.5,,1.5,,1.5,,0.0,0.0818
1990-03-08 23:00:00,1.5,,1.5,,1.5,,0.0,0.0818
1990-03-09 23:00:00,1.5,,1.5,,1.5,,0.0,0.08259999999999999
1990-03-12 23:00:00,1.625,,1.625,,1.625,,0.0,0.08259999999999999
1990-03-13 23:00:00,1.75,,1.75,,1.75,,0.0,0.08259999999999999
1990-03-14 23:00:00,2.0,,2.0,,2.0,,0.0,0.0823
