DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
1998-09-21,1853.09,19000600,1275.39,19000300,,
1998-09-22,1896.09,19000600,1306.26,19000300,,
1998-09-23,1955.47,19000600,1350.89,19000300,,
1998-09-24,1932.95,19000600,1335.7,19000300,,
1998-09-25,1904.28,19000600,1314.33,19000300,,
1998-09-28,1931.58,19000600,1333.32,19000300,,
1998-09-29,1922.71,19000600,1327.63,19000300,,
1998-09-30,1853.77,19000600,1279.67,19000300,,
1998-10-01,1741.15,19000600,1201.32,19000300,,
1998-10-02,1720.68,19000600,1187.08,19000300,,
1998-10-05,1686.55,19000600,1163.33,19000300,,
1998-10-06,1786.2,19000600,1234.56,19000300,,
1998-10-07,1761.63,19000600,1217.94,19000300,,
1998-10-08,1685.19,19000600,1164.28,19000300,,
1998-10-09,1717.27,19000600,1187.55,19000300,,
1998-10-12,1827.15,19000600,1263.05,19000300,,
1998-10-13,1850.36,19000600,1279.67,19000300,,
1998-10-14,1898.82,19000600,1312.91,19000300,,
1998-10-15,1903.6,19000600,1316.7,19000300,,
1998-10-16,1932.26,19000600,1336.65,19000300,,
1998-10-19,1922.03,19000600,1329.53,19000300,,
1998-10-20,1996.42,19000600,1379.38,19000300,,
1998-10-21,1952.06,19000600,1348.52,19000300,,
1998-10-22,1932.26,19000600,1336.65,19000300,,
1998-10-23,1939.09,19000600,1341.4,19000300,,
1998-10-26,1962.3,19000600,1355.64,19000300,,
1998-10-27,2023.72,19000600,1396.48,19000300,,
1998-10-28,1973.22,19000600,1361.34,19000300,,
1998-10-29,1965.71,19000600,1358.49,19000300,,
1998-10-30,2005.3,19000600,1383.66,19000300,,
1998-11-02,2045.57,19000600,1414.05,19000300,,
1998-11-03,2043.52,19000600,1410.25,19000300,,
1998-11-04,2102.9,19000600,1450.61,19000300,,
1998-11-05,2057.85,19000600,1420.22,19000300,,
1998-11-06,2060.58,19000600,1423.54,19000300,,
1998-11-09,2053.76,19000600,1417.37,19000300,,
1998-11-10,2022.36,19000600,1395.53,19000300,,
1998-11-11,2038.74,19000600,1406.92,19000300,,
1998-11-12,2035.33,19000600,1404.55,19000300,,
1998-11-13,2026.45,19000600,1398.38,19000300,,
1998-11-16,2068.09,19000600,1426.87,19000300,,
1998-11-17,2064.68,19000600,1424.49,19000300,,
1998-11-18,2061.26,19000600,1422.12,19000300,,
1998-11-19,2109.04,19000600,1455.36,19000300,,
1998-11-20,2169.11,19000600,1496.67,19000300,,
1998-11-23,2215.52,19000600,1528.95,19000300,,
1998-11-24,2186.17,19000600,1508.54,19000300,,
1998-11-25,2191.63,19000600,1512.34,19000300,,
1998-11-26,2236.68,19000600,1543.2,19000300,,
1998-11-27,2258.52,19000600,1558.39,19000300,,
1998-11-30,2203.23,19000600,1519.46,19000300,,
1998-12-01,2104.95,19000600,1451.08,19000300,,
1998-12-02,2090.61,19000600,1441.11,19000300,,
1998-12-03,2121.33,19000600,1462.48,19000300,,
1998-12-04,2124.06,19000600,1464.85,19000300,,
1998-12-07,2137.71,19000600,1474.35,19000300,,
1998-12-08,2145.9,19000600,1480.05,19000300,,
1998-12-09,2149.99,19000600,1483.37,19000300,,
1998-12-10,2141.12,19000600,1476.72,19000300,,
1998-12-11,2099.49,19000600,1448.23,19000300,,
1998-12-14,2107.68,19000600,1453.93,19000300,,
1998-12-15,2121.33,19000600,1463.43,19000300,,
1998-12-16,2156.82,19000600,1486.22,19000300,,
1998-12-17,2173.88,19000600,1495.72,19000300,,
1998-12-18,2159.55,19000600,1486.48,19000300,,
1998-12-21,2234.96,19000600,1538.15,19000300,,
1998-12-22,2247.99,19000600,1545.67,19000300,,
1998-12-23,2294.61,19000600,1578.09,19000300,,
1998-12-28,2315.17,19000600,1592.18,19000300,,
1998-12-29,2315.86,19000600,1590.77,19000300,,
1998-12-30,2317.92,19000600,1593.59,19000300,,
1999-01-04,2469.43,19000600,1693.66,19000300,,
1999-01-05,2494.79,19000600,1714.8,19000300,,
1999-01-06,2564.04,19000600,1761.78,19000300,,
1999-01-07,2522.22,19000600,1733.6,19000300,,
1999-01-08,2510.56,19000600,1726.55,19000300,,
1999-01-11,2439.95,19000600,1677.22,19000300,,
1999-01-12,2410.47,19000600,1656.55,19000300,,
1999-01-13,2328.2,19000600,1602.52,19000300,,
1999-01-14,2302.15,19000600,1583.26,19000300,,
1999-01-15,2390.59,19000600,1642.45,19000300,,
1999-01-18,2426.92,19000600,1667.82,19000300,,
1999-01-19,2427.61,19000600,1667.82,19000300,,
1999-01-20,2485.88,19000600,1708.7,19000300,,
1999-01-21,2455.72,19000600,1687.55,19000300,,
1999-01-22,2337.11,19000600,1607.69,19000300,,
1999-01-25,2348.77,19000600,1615.2,19000300,,
1999-01-26,2363.85,19000600,1625.54,19000300,,
1999-01-27,2379.62,19000600,1635.41,19000300,,
1999-01-28,2423.49,19000600,1665.47,19000300,,
1999-01-29,2452.29,19000600,1684.27,19000300,,
1999-02-01,2487.94,19000600,1709.17,19000300,,
1999-02-02,2428.98,19000600,1668.76,19000300,,
1999-02-03,2390.59,19000600,1642.45,19000300,,
1999-02-04,2385.1,19000600,1638.69,19000300,,
1999-02-05,2396.07,19000600,1645.74,19000300,,
1999-02-08,2372.08,19000600,1629.3,19000300,,
1999-02-09,2304.21,19000600,1583.26,19000300,,
1999-02-10,2276.1,19000600,1562.12,19000300,,
1999-02-11,2320.66,19000600,1592.65,19000300,,
1999-02-12,2339.85,19000600,1606.75,19000300,,
1999-02-15,2346.03,19000600,1610.98,19000300,,
1999-02-16,2332.31,19000600,1601.11,19000300,,
1999-02-17,2298.72,19000600,1578.56,19000300,,
1999-02-18,2315.86,19000600,1590.3,19000300,,
1999-02-19,2334.37,19000600,1603.46,19000300,,
1999-02-22,2380.3,19000600,1634.94,19000300,,
1999-02-23,2426.92,19000600,1667.82,19000300,,
1999-02-24,2445.43,19000600,1680.98,19000300,,
1999-02-25,2378.93,19000600,1634.94,19000300,,
1999-02-26,2391.96,19000600,1643.86,19000300,,
1999-03-01,2357.68,19000600,1619.9,19000300,,
1999-03-02,2364.54,19000600,1625.07,19000300,,
1999-03-03,2313.8,19000600,1590.3,19000300,,
1999-03-04,2352.2,19000600,1616.14,19000300,,
1999-03-05,2422.12,19000600,1665.0,19000300,,
1999-03-08,2389.9,19000600,1642.92,19000300,,
1999-03-09,2391.96,19000600,1643.86,19000300,,
1999-03-10,2387.84,19000600,1641.04,19000300,,
1999-03-11,2413.21,19000600,1658.43,19000300,,
1999-03-12,2449.55,19000600,1682.86,19000300,,
1999-03-15,2452.97,19000600,1685.21,19000300,,
1999-03-16,2466.0,19000600,1694.13,19000300,,
1999-03-17,2447.49,19000600,1681.92,19000300,,
1999-03-18,2451.6,19000600,1685.21,19000300,,
1999-03-19,2498.22,19000600,1711.56,19000300,,
1999-03-22,2472.97,19000600,1696.06,19000300,,
1999-03-23,2404.03,19000600,1648.62,19000300,,
1999-03-24,2369.22,19000600,1624.67,19000300,,
1999-03-25,2421.77,19000600,1660.83,19000300,,
1999-03-26,2389.69,19000600,1639.23,19000300,,
1999-03-29,2423.82,19000600,1662.71,19000300,,
1999-03-30,2415.63,19000600,1656.61,19000300,,
1999-03-31,2428.6,19000600,1666.0,19000300,,
1999-04-01,2449.76,19000600,1681.03,19000300,,
1999-04-06,2511.87,19000600,1723.77,19000300,,
1999-04-07,2492.08,19000600,1709.68,19000300,,
1999-04-08,2500.27,19000600,1714.38,19000300,,
1999-04-09,2520.06,19000600,1728.94,19000300,,
1999-04-12,2518.7,19000600,1728.0,19000300,,
1999-04-13,2540.54,19000600,1742.56,19000300,,
1999-04-14,2522.11,19000600,1730.35,19000300,,
1999-04-15,2487.98,19000600,1707.33,19000300,,
1999-04-16,2491.4,19000600,1708.74,19000300,,
1999-04-19,2532.35,19000600,1737.39,19000300,,
1999-04-20,2464.78,19000600,1690.89,19000300,,
1999-04-21,2477.74,19000600,1700.29,19000300,,
1999-04-22,2499.59,19000600,1715.32,19000300,,
1999-04-23,2498.22,19000600,1713.44,19000300,,
1999-04-26,2513.24,19000600,1723.77,19000300,,
1999-04-27,2551.46,19000600,1750.08,19000300,,
1999-04-28,2543.95,19000600,1745.38,19000300,,
1999-04-29,2538.49,19000600,1741.15,19000300,,
1999-04-30,2560.34,19000600,1756.65,19000300,,
1999-05-03,2568.53,19000600,1761.82,19000300,,
1999-05-04,2560.34,19000600,1756.65,19000300,,
1999-05-05,2525.52,19000600,1733.17,19000300,,
1999-05-06,2513.24,19000600,1724.24,19000300,,
1999-05-07,2507.1,19000600,1720.02,19000300,,
1999-05-10,2511.19,19000600,1722.36,19000300,,
