DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2009-06-03,24945.84,19000200,1189.52,19000300,,
2009-06-04,25787.57,19000200,1222.26,19000300,,
2009-06-05,25251.92,19000200,1193.15,19000300,,
2009-06-08,26017.13,19000200,1225.89,19000300,,
2009-06-09,25404.96,19000200,1207.71,19000300,,
2009-06-10,25175.4,19000200,1193.15,19000300,,
2009-06-11,24104.11,19000200,1138.59,19000300,,
2009-06-12,23798.02,19000200,1131.31,19000300,,
2009-06-15,24639.75,19000200,1171.33,19000300,,
2009-06-16,24792.8,19000200,1178.6,19000300,,
2009-06-17,25558.01,19000200,1211.34,19000300,,
2009-06-18,25558.01,19000200,1211.34,19000300,,
2009-06-19,25251.0,19000200,1161.76,19000300,,
2009-06-22,25481.26,19000200,1172.38,19000300,,
2009-06-23,26018.51,19000200,1190.09,19000300,,
2009-06-24,25174.25,19000200,1172.38,19000300,,
2009-06-25,25327.75,19000200,1168.84,19000300,,
2009-06-26,25327.75,19000200,1172.38,19000300,,
2009-06-29,24176.49,19000200,1154.67,19000300,,
2009-06-30,24790.5,19000200,1136.96,19000300,,
2009-07-01,23946.24,19000200,1119.25,19000300,,
2009-07-02,24406.74,19000200,1133.42,19000300,,
2009-07-03,25251.0,19000200,1154.67,19000300,,
2009-07-06,25558.01,19000200,1172.38,19000300,,
2009-07-07,25788.26,19000200,1179.47,19000300,,
2009-07-08,26018.51,19000200,1179.47,19000300,,
2009-07-09,25558.01,19000200,1151.13,19000300,,
2009-07-10,25711.51,19000200,1161.76,19000300,,
2009-07-13,24790.5,19000200,1165.3,19000300,,
2009-07-14,24329.99,19000200,1140.5,19000300,,
2009-07-15,23408.98,19000200,1122.79,19000300,,
2009-07-16,23562.49,19000200,1098.0,19000300,,
2009-07-17,23485.74,19000200,1076.75,19000300,,
2009-07-20,22411.22,19000200,1080.29,19000300,,
2009-07-21,22564.73,19000200,1037.79,19000300,,
2009-07-22,22334.47,19000200,1048.41,19000300,,
2009-07-23,21806.29,19000200,1048.41,19000300,,
2009-07-24,21655.39,19000200,1073.21,19000300,,
2009-07-27,22108.11,19000200,1030.7,19000300,,
2009-07-28,21957.2,19000200,1059.04,19000300,,
2009-07-29,22108.11,19000200,1059.04,19000300,,
2009-07-30,21806.29,19000200,1059.04,19000300,,
2009-07-31,21881.75,19000200,1044.87,19000300,,
2009-08-03,22334.47,19000200,1062.58,19000300,,
2009-08-04,22108.11,19000200,1059.04,19000300,,
2009-08-05,22259.02,19000200,1062.58,19000300,,
2009-08-06,21957.2,19000200,1023.62,19000300,,
2009-08-07,21429.02,19000200,1030.7,19000300,,
2009-08-10,21429.02,19000200,1034.25,19000300,,
2009-08-11,21957.2,19000200,1048.41,19000300,,
2009-08-12,21579.93,19000200,1027.16,19000300,,
2009-08-13,21881.75,19000200,1066.12,19000300,,
2009-08-14,21957.2,19000200,1037.79,19000300,,
2009-08-17,23843.56,19000200,1122.79,19000300,,
2009-08-18,22938.11,19000200,1098.0,19000300,,
2009-08-19,23013.56,19000200,1105.08,19000300,,
2009-08-20,22423.47,19000200,1087.26,19000300,,
2009-08-21,21317.05,19000200,1030.22,19000300,,
2009-08-24,22349.71,19000200,1073.0,19000300,,
2009-08-25,22275.95,19000200,1073.0,19000300,,
2009-08-26,22497.23,19000200,1101.52,19000300,,
2009-08-27,22939.8,19000200,1112.21,19000300,,
2009-08-28,22349.71,19000200,1097.96,19000300,,
2009-08-31,23087.32,19000200,1090.83,19000300,,
2009-09-01,23677.42,19000200,1115.78,19000300,,
2009-09-02,24119.98,19000200,1122.91,19000300,,
2009-09-03,23456.13,19000200,1130.04,19000300,,
2009-09-04,22570.99,19000200,1083.7,19000300,,
2009-09-07,21907.14,19000200,1069.44,19000300,,
2009-09-08,21907.14,19000200,1080.13,19000300,,
2009-09-09,21390.81,19000200,1069.44,19000300,,
2009-09-10,21022.0,19000200,1065.87,19000300,,
2009-09-11,20653.2,19000200,1040.92,19000300,,
2009-09-14,20800.72,19000200,1055.18,19000300,,
2009-09-15,20800.72,19000200,1037.35,19000300,,
2009-09-16,20431.91,19000200,1005.27,19000300,,
2009-09-17,21156.45,19000200,1005.27,19000300,,
2009-09-18,21156.45,19000200,1005.27,19000300,,
2009-09-21,21518.72,19000200,1012.09,19000300,,
2009-09-22,21084.0,19000200,1015.49,19000300,,
2009-09-23,20866.63,19000200,1008.68,19000300,,
2009-09-24,21663.62,19000200,1029.12,19000300,,
2009-09-25,21446.26,19000200,1039.35,19000300,,
2009-09-28,20866.63,19000200,1035.94,19000300,,
2009-09-29,21011.54,19000200,1005.27,19000300,,
2009-09-30,21084.0,19000200,1022.31,19000300,,
2009-10-01,22098.35,19000200,1029.12,19000300,,
2009-10-02,22170.8,19000200,1049.57,19000300,,
2009-10-05,21953.44,19000200,1046.16,19000300,,
2009-10-06,20431.91,19000200,1018.9,19000300,,
2009-10-07,20794.18,19000200,1001.86,19000300,,
2009-10-08,20069.65,19000200,967.79,19000300,,
2009-10-09,20214.55,19000200,991.64,19000300,,
2009-10-12,20069.65,19000200,984.82,19000300,,
2009-10-13,20649.27,19000200,981.42,19000300,,
2009-10-14,19779.83,19000200,974.6,19000300,,
2009-10-15,19997.19,19000200,957.56,19000300,,
2009-10-16,20214.55,19000200,964.38,19000300,,
2009-10-19,20069.65,19000200,964.38,19000300,,
2009-10-20,19634.92,19000200,957.56,19000300,,
2009-10-21,19200.2,19000200,954.16,19000300,,
2009-10-22,19268.77,19000200,954.16,19000300,,
2009-10-23,19200.2,19000200,950.8,19000300,,
2009-10-26,19474.49,19000200,967.59,19000300,,
2009-10-27,19611.64,19000200,970.95,19000300,,
2009-10-28,20023.07,19000200,974.31,19000300,,
2009-10-29,19885.92,19000200,981.03,19000300,,
2009-10-30,21188.79,19000200,991.11,19000300,,
2009-11-02,20708.79,19000200,1004.55,19000300,,
2009-11-03,20845.93,19000200,1024.71,19000300,,
2009-11-04,21051.65,19000200,1024.71,19000300,,
2009-11-05,20365.93,19000200,1004.55,19000300,,
2009-11-06,19748.78,19000200,981.03,19000300,,
2009-11-09,19063.06,19000200,954.16,19000300,,
2009-11-10,18514.48,19000200,964.23,19000300,,
2009-11-11,18583.05,19000200,954.16,19000300,,
2009-11-12,18720.2,19000200,957.52,19000300,,
2009-11-13,18788.77,19000200,970.95,19000300,,
2009-11-16,18445.91,19000200,954.16,19000300,,
2009-11-17,18994.49,19000200,970.95,19000300,,
2009-11-18,18308.76,19000200,967.59,19000300,,
2009-11-19,18435.91,19000200,991.36,19000300,,
2009-11-20,18435.91,19000200,991.36,19000300,,
2009-11-23,17482.33,19000200,940.43,19000300,,
2009-11-24,18245.19,19000200,977.78,19000300,,
2009-11-25,17927.33,19000200,964.2,19000300,,
2009-11-26,19135.2,19000200,1025.31,19000300,,
2009-11-27,18372.34,19000200,981.17,19000300,,
2009-11-30,19071.63,19000200,1018.52,19000300,,
2009-12-01,18435.91,19000200,984.57,19000300,,
2009-12-02,18435.91,19000200,1004.94,19000300,,
2009-12-03,18499.48,19000200,1018.52,19000300,,
2009-12-04,18245.19,19000200,1001.54,19000300,,
2009-12-07,18181.62,19000200,998.15,19000300,,
2009-12-08,18435.91,19000200,1018.52,19000300,,
2009-12-09,18690.2,19000200,1008.34,19000300,,
2009-12-10,18626.62,19000200,1018.52,19000300,,
2009-12-11,18499.48,19000200,1001.54,19000300,,
2009-12-14,18118.05,19000200,1011.73,19000300,,
2009-12-15,17990.9,19000200,991.36,19000300,,
2009-12-16,17418.75,19000200,974.38,19000300,,
2009-12-17,17479.45,19000200,974.38,19000300,,
2009-12-18,17358.06,19000200,984.43,19000300,,
2009-12-21,17054.6,19000200,977.73,19000300,,
2009-12-22,16751.14,19000200,954.29,19000300,,
2009-12-23,16326.29,19000200,944.25,19000300,,
2009-12-28,16204.9,19000200,917.46,19000300,,
2009-12-29,16144.21,19000200,910.76,19000300,,
2009-12-30,16083.52,19000200,914.11,19000300,,
2010-01-04,16144.21,19000200,917.46,19000300,,
2010-01-05,15840.75,19000200,897.37,19000300,,
2010-01-06,15476.59,19000200,870.58,19000300,,
2010-01-07,15537.29,19000200,870.58,19000300,,
2010-01-08,15112.44,19000200,847.15,19000300,,
2010-01-11,15355.21,19000200,840.45,19000300,,
2010-01-12,15294.52,19000200,840.45,19000300,,
2010-01-13,15173.13,19000200,837.1,19000300,,
2010-01-14,14748.28,19000200,820.36,19000300,,
2010-01-15,14991.05,19000200,830.4,19000300,,
2010-01-18,14748.28,19000200,827.05,19000300,,
2010-01-19,14019.97,19000200,813.66,19000300,,
2010-01-20,14869.67,19000200,827.05,19000300,,
2010-01-21,15050.27,19000200,827.05,19000300,,
2010-01-22,16254.29,19000200,885.9,19000300,,
2010-01-25,15893.09,19000200,869.55,19000300,,
2010-01-26,15592.08,19000200,849.94,19000300,,
2010-01-27,15893.09,19000200,869.55,19000300,,
2010-01-28,15953.29,19000200,879.36,19000300,,
2010-01-29,15893.09,19000200,876.09,19000300,,
2010-02-01,15652.28,19000200,872.82,19000300,,
2010-02-02,15110.47,19000200,840.13,19000300,,
2010-02-03,15170.67,19000200,836.86,19000300,,
2010-02-04,16254.29,19000200,879.36,19000300,,
2010-02-05,16675.7,19000200,912.05,19000300,,
2010-02-08,16735.9,19000200,918.59,19000300,,
2010-02-09,16916.51,19000200,928.39,19000300,,
2010-02-10,16856.3,19000200,921.86,19000300,,
2010-02-11,16796.1,19000200,925.12,19000300,,
2010-02-12,16675.7,19000200,921.86,19000300,,
2010-02-15,16735.9,19000200,921.86,19000300,,
2010-02-16,15893.09,19000200,902.24,19000300,,
2010-02-17,15652.28,19000200,869.55,19000300,,
2010-02-18,15534.6,19000200,885.96,19000300,,
2010-02-19,15299.22,19000200,862.99,19000300,,
2010-02-22,14946.16,19000200,840.02,19000300,,
2010-02-23,15358.07,19000200,859.71,19000300,,
2010-02-24,15358.07,19000200,853.15,19000300,,
2010-02-25,15711.13,19000200,862.99,19000300,,
2010-02-26,15122.69,19000200,840.02,19000300,,
2010-03-01,14828.48,19000200,833.46,19000300,,
2010-03-02,14416.58,19000200,817.05,19000300,,
2010-03-03,14416.58,19000200,810.49,19000300,,
2010-03-04,14416.58,19000200,813.77,19000300,,
2010-03-05,13828.14,19000200,794.08,19000300,,
2010-03-08,14004.67,19000200,797.36,19000300,,
2010-03-09,14004.67,19000200,800.64,19000300,,
2010-03-10,13886.99,19000200,797.36,19000300,,
2010-03-11,14298.89,19000200,813.77,19000300,,
2010-03-12,14416.58,19000200,820.33,19000300,,
2010-03-15,14593.11,19000200,843.3,19000300,,
2010-03-16,14240.05,19000200,820.33,19000300,,
2010-03-17,13886.99,19000200,803.93,19000300,,
2010-03-18,14057.03,19000200,803.93,19000300,,
2010-03-19,14227.08,19000200,807.17,19000300,,
2010-03-22,14000.35,19000200,823.37,19000300,,
2010-03-23,13886.99,19000200,813.65,19000300,,
2010-03-24,13660.26,19000200,813.65,19000300,,
2010-03-25,13320.17,19000200,797.44,19000300,,
2010-03-26,13490.22,19000200,797.44,19000300,,
2010-03-29,13150.13,19000200,794.2,19000300,,
2010-03-30,13263.49,19000200,787.72,19000300,,
2010-03-31,13376.85,19000200,790.96,19000300,,
2010-04-01,13093.45,19000200,784.48,19000300,,
2010-04-06,12866.72,19000200,771.51,19000300,,
2010-04-07,13036.76,19000200,768.27,19000300,,
2010-04-08,13433.54,19000200,790.96,19000300,,
2010-04-09,12980.08,19000200,774.75,19000300,,
2010-04-12,12923.4,19000200,771.51,19000300,,
2010-04-13,12923.4,19000200,774.75,19000300,,
2010-04-14,12866.72,19000200,771.51,19000300,,
2010-04-15,12866.72,19000200,768.27,19000300,,
2010-04-16,13150.13,19000200,784.48,19000300,,
2010-04-19,13716.94,19000200,800.68,19000300,,
2010-04-20,13150.13,19000200,781.23,19000300,,
2010-04-21,13376.85,19000200,800.68,19000300,,
2010-04-22,13918.43,19000200,800.68,19000300,,
2010-04-23,13701.8,19000200,785.4,19000300,,
2010-04-26,13539.33,19000200,782.35,19000300,,
2010-04-27,14514.16,19000200,861.8,19000300,,
2010-04-28,15055.73,19000200,843.47,19000300,,
2010-04-29,14893.26,19000200,834.3,19000300,,
2010-04-30,15001.57,19000200,834.3,19000300,,
2010-05-03,15055.73,19000200,843.47,19000300,,
2010-05-04,16301.35,19000200,901.53,19000300,,
2010-05-05,16897.08,19000200,929.04,19000300,,
2010-05-06,17438.65,19000200,959.6,19000300,,
2010-05-07,19280.0,19000200,1078.78,19000300,,
2010-05-10,17492.81,19000200,953.49,19000300,,
2010-05-11,17980.22,19000200,974.88,19000300,,
